# No. of        No. of        No. of basis       No. of shells
# alpha MOs     beta MOs      f'ns in each
   6              5               43                  23
# L,  exponent,     coefficient
0  3.61664000e+04  3.91165624e-04
0  5.37258000e+03  3.06178423e-03
0  1.21321000e+03  1.60092418e-02
0  3.39623000e+02  6.42033335e-02
0  1.09553000e+02  1.94919363e-01
0  3.87773000e+01  4.01083030e-01
0  1.45759000e+01  3.92472270e-01
0  5.26993000e+00  8.33750317e-02
0  1.82777000e+00 -4.04593930e-03
0  6.19948000e-01  4.62573293e-03
0  3.57228000e-01 -2.37804647e-03
0  6.18610000e-02  3.93545384e-04
0  2.42950000e-02 -1.72806487e-04
1  1.44645000e+02  6.35389937e-17
1  1.44645000e+02  1.76397617e-17
1  1.44645000e+02 -1.77545555e-16
1  3.39074000e+01  1.07048806e-16
1  3.39074000e+01 -2.02530578e-18
1  3.39074000e+01  1.15914252e-16
1  1.06285000e+01 -3.14515281e-16
1  1.06285000e+01  1.45033344e-16
1  1.06285000e+01 -7.83883800e-17
1  3.82389000e+00  8.72606424e-16
1  3.82389000e+00 -3.73915108e-16
1  3.82389000e+00 -1.49867314e-16
1  1.44429000e+00 -1.00504400e-15
1  1.44429000e+00  4.21319239e-16
1  1.44429000e+00 -8.64376583e-17
1  5.52621000e-01  5.49329335e-16
1  5.52621000e-01 -2.86239448e-16
1  5.52621000e-01  5.11716571e-16
1  1.88720000e-01 -1.87559421e-16
1  1.88720000e-01  1.26109469e-16
1  1.88720000e-01 -3.56782600e-16
1  4.65010000e-02  4.45220536e-17
1  4.65010000e-02 -5.86746169e-17
1  4.65010000e-02 -1.00254183e-16
1  1.62850000e-02 -1.45040470e-17
1  1.62850000e-02  4.00457135e-17
1  1.62850000e-02  1.75343834e-16
1  8.00000000e-03 -1.60597601e-17
1  8.00000000e-03  3.17636764e-17
1  8.00000000e-03 -3.04724631e-17
0  3.61664000e+04 -9.58258869e-05
0  5.37258000e+03 -7.47550408e-04
0  1.21321000e+03 -3.96798848e-03
0  3.39623000e+02 -1.61384735e-02
0  1.09553000e+02 -5.31624937e-02
0  3.87773000e+01 -1.27976662e-01
0  1.45759000e+01 -1.99484219e-01
0  5.26993000e+00  3.39228987e-02
0  1.82777000e+00  6.01771544e-01
0  6.19948000e-01  4.78594658e-01
0  3.57228000e-01  4.66375809e-03
0  6.18610000e-02  1.40967580e-02
0  2.42950000e-02 -5.95844554e-03
1  1.44645000e+02 -1.87328671e-16
1  1.44645000e+02 -2.41230905e-16
1  1.44645000e+02  3.12715256e-16
1  3.39074000e+01  1.78100692e-16
1  3.39074000e+01  2.46347938e-16
1  3.39074000e+01 -1.61294878e-17
1  1.06285000e+01 -1.54368404e-16
1  1.06285000e+01 -4.46597946e-16
1  1.06285000e+01 -4.66649420e-16
1  3.82389000e+00  3.37995991e-17
1  3.82389000e+00  2.42764597e-16
1  3.82389000e+00  5.73892658e-16
1  1.44429000e+00 -3.07292577e-16
1  1.44429000e+00 -1.12449111e-16
1  1.44429000e+00 -4.55362160e-16
1  5.52621000e-01  1.90386616e-16
1  5.52621000e-01 -3.34514127e-16
1  5.52621000e-01  1.86606011e-16
1  1.88720000e-01 -3.00087740e-16
1  1.88720000e-01  4.59602934e-16
1  1.88720000e-01 -1.36843253e-16
1  4.65010000e-02  8.29190754e-18
1  4.65010000e-02 -2.22680978e-16
1  4.65010000e-02 -6.70154091e-17
